1HLC03CT001_	1HLC51CF001_	1HLC52CF001_	1HLC53CF001_	1HLC51CT001_	1HLC52CT001_	1HLC53CT001_	1HTA11CF001_	1HTA11CF001___	1HBK10FT001_	1HBK10DT001_PV	1HBK40CT001_	1HBK40CT002_	1HBK40CT003_	1HAD10FT001_	1HBK40CT006_	1LBA10CF001_	1LBA10CT901_	1HNA10CT001_	1LAB40CF001_	1HAC20CT001_	1LAB40CT001_	1LBA20CP901XQ01	1LBA20CT901XQ01	1MAA35CP901XQ01	1NDD10CP901XQ01	1MKA10CE015XQ01	1NDD10CT001XQ01	1NDD10CP001XQ01	1NDD20CT001XQ01	1NDA10CT001_	1NDB10CT003_	1NDA10CF010_A
87.66950344	5.993031246	5.543574993	4.242475164	91.00445596	93.16816601	95.02105629	91.65889376	143.105736	1156.242227	1155.633972	480.8679854	429.8597078	519.7322	270.5710437	320.0320166	14.70259212	425.4258648	181.0901397	15.65187655	204.4804718	129.1277981	49.99598398	429.0707367	0.153823817	-0.452749159	9.680106009	78.53070464	-0.452749159	104.9747569	102.9625247	48.68669652	25.08284709
87.69637385	5.99107219	5.547045345	4.247218004	91.34568701	93.4047261	94.9090814	91.58866944	143.5812649	1161.958181	1162.277664	479.7620766	426.3431356	519.4958956	270.2221611	320.5226062	14.7403541	425.131068	182.4654766	15.73782103	204.7266944	129.0654904	49.99460981	428.857092	0.152794023	-0.454500138	9.692074258	78.52681826	-0.454500138	104.9924803	103.0411102	48.7259555	26.65398985
87.67797462	5.990125724	5.539210898	4.242004938	90.96663471	93.20606104	95.47768007	90.13628216	141.1408023	1156.634633	1156.83575	477.8820527	425.0270716	516.994993	270.1009307	320.0937469	14.58194372	424.7492257	183.0771975	15.56542613	204.0966064	129.1296679	50.0048957	428.3543758	0.151830057	-0.454752378	9.587700914	78.49292466	-0.454752378	104.9687744	102.9488981	48.53996349	25.89439337
87.68133617	5.990656827	5.537391677	4.244179512	90.79858794	93.25423601	95.99765565	89.79516319	140.3689413	1150.722053	1150.60414	479.5320742	432.0687214	518.7957881	270.3553491	320.1004876	14.70973159	425.4900556	181.7628858	15.61151625	204.9312288	128.9453412	49.99276838	429.1239478	0.15076468	-0.45550149	9.67710853	78.35180776	-0.45550149	104.9142539	102.9330179	48.30849765	28.83481711
87.60682739	5.991864559	5.543409513	4.243978937	90.94663844	92.79595453	95.90010824	88.69916485	138.7056334	1149.876058	1150.26482	480.4804905	429.2616309	519.0116939	270.1418031	320.1986577	14.6015974	425.0482583	181.276307	15.68189084	204.9764276	128.9845351	50.01243591	428.673852	0.155532725	-0.453749156	9.672905199	78.38106832	-0.453749156	105.0167585	103.033704	48.45928468	30.03453199
87.67539919	5.989176516	5.541495437	4.243674281	90.74780359	92.86230671	95.67003706	87.74448975	137.1582576	1156.252158	1155.84688	480.5086113	433.3229516	519.9244732	270.310137	319.301068	14.70660093	424.4812804	181.3460078	15.66358588	203.4080774	128.8815116	49.98818092	428.0353176	0.154687792	-0.455417589	9.691760782	78.39025691	-0.455417589	105.0345978	103.068513	48.35690314	32.40410703
87.68889436	5.988973228	5.545728891	4.246643574	91.4641954	93.59984498	95.93043911	86.03162896	134.4497092	1164.157226	1163.802179	481.0948855	430.8291901	517.4102595	270.1066217	316.978736	14.66304433	423.2283434	180.1857642	15.63262908	200.6909627	129.1705512	50.00065538	426.8286707	0.152335533	-0.456167031	9.590881155	78.390121	-0.456167031	104.900114	102.8902453	48.41846778	33.60759681
87.65308368	5.996932428	5.544725888	4.243710398	91.2418178	92.93166308	95.21364554	83.66489355	130.7584024	1157.412921	1157.501953	479.7281418	426.9759056	514.506212	270.0373235	315.7625697	14.62967007	423.2731135	177.9659908	15.60446424	201.572129	129.0080193	50.00890035	426.8832369	0.15350284	-0.454586818	9.661023747	78.36200393	-0.454586818	104.9856047	103.0119893	48.41663271	35.45585492
87.66515935	5.994492804	5.545629374	4.246005832	91.08589716	93.24298098	95.99068805	84.29715525	131.9281086	1165.880011	1165.832403	479.2053319	426.143597	514.5397243	270.0174353	315.7894526	14.72937789	423.7799928	178.846765	15.72060847	201.0413487	129.1331154	50.0107582	427.4567686	0.154893396	-0.457663878	9.696764724	78.30715502	-0.457663878	104.9013036	102.9358501	48.38808432	39.00664662
87.68031243	5.999606297	5.553814739	4.247900455	91.4468266	92.96910081	95.14159313	84.67835562	132.2589107	1156.105279	1156.55203	481.1157097	428.2647921	515.407623	270.0835131	317.7385604	14.55136901	425.4817119	180.9678831	15.5313557	201.9925685	128.8795009	50.00776728	429.0533027	0.156030813	-0.4546651	9.606816701	78.39729151	-0.4546651	104.9664043	103.0307489	48.36468742	36.63082204
